"cleaned_comment"
"oh wow thats cool never seen"
"pink floyd thé best"
"sexy babe roger water great together"
"sound track youth pf"
"arnold layne ia beautiful psychedelic pop song syd barrettit release feburary controversial song banned radio station timebut reach position chart uk"
"liked watch emily play"
"love"
"one amazing band world perfect synchronization song"
"prefer album syd leaf band"
"david bowie cover great"
"suck"
"genius syd"
"cool"
"roger syd two genius band"
"pink floyd best"
"shine"
"arnold layne trans cool"
"kid today think pop video stated mtv generation little know"
"syd genius rip rick rip"
"think syd tried crossdressing least"
"percent awesome"
"roger keith syd barrett thank"
"heavy sound"
"dig knew"
"incredible made band best world thats pink floyd"
"seems like travesty interrupt brief showing pink floyd finest syd leading pack back boy liked young fresh school believe first production video hit rip syd richard world never without musical genius pink floyd"
"arnold layne"
"relatively early"
"rest history"
