"cleaned_comment"
"nobody talk sharingan sound effect"
"def fucked"
"nobody talking sharingan sample"
"hard bra"
"whod ever think sexy red lancey would collaborated together"
"bending like"
"snare hi hat clap layering god level"
"like thought better rod wave first hell na"
"bro cant rap like bootayyyyyyyyy bro like get yo rap"
"way month alr bruh"
"collab mother bro"
"lancey lancey im ghetto im fancy"
"already sex vid bro"
"sexy red"
"im one noticed mf sampled sharingan sound effect"
"fr signed opium"
"clocked heard sexyys verse"
"im obssesed song pls"
"lancey indeed tapped night recording session lancey going place man"
