"cleaned_comment"
"song super hard"
"pierre cold long"
"supra faswwwwwwkkkk"
"bro built different every rapper flexin g wagon roll royce lahmbos bt g modified mk supra fuckin menace"
"yo pierre wan come huaaaaa"
"yo supra"
"got ta respect supra bruh"
"uber yea night"
"hope doesnt become schtick fck edm rap shit"
"oh wow sick thanks apple head as nigga well busy listening honeyberry pt high low time wish well king heart lol dropped album without even knowing try next week video pierre eating good rn oh btw hope trip stair tomorrow morning eating breakfast get egg bacon chain look everything rely others get fan year begged ignored u like werent shit lost respect dude doesnt care one u one u"
"hope leak mystery machine fuck nigga"
"dj car"
"supra"
"shit wack"
"mip next"
"yup thats"
"one song gm could bump time"
"bro let work already"
"told bestfriend please dont play"
"yes fav song thank p love sossgirll"
"goat"
"another let get"
"ok fine ill ask supra"
"cant wait"
"im ready"
"ig hoe"
