"cleaned_comment"
"love much fan life omg cant believe"
"tripping lone youtube short"
"couldnt add intro song"
"ho fire"
"hey lone texting see okay"
"go tour"
"fav part"
"baby im fashion demon"
"good golly miss molly turned opium stop"
"bro"
"lone youtube short"
"need de visual look could kill"
"bros music good killing"
"thats wife"
"shit opium"
"theyre regular pant ppreciate"
"thing lone"
"real"
"bro nigga fan base par micheal jackson yall fucking wild beautiful watch"
"shit fire album rollout creative idea"
"lone fye"
"life laugh lone"
"look could kill"
"whats happened"
"personally id try turning music situation"
"turned wolf night listening majestic song"
"ima look killa swag drillin"
"bro killed w fye music"
"first"
"ily lone"
