"cleaned_comment"
"crazy screamed louder ken carti"
"tf odetari ken carson concert"
"helshi month ago fighting demon vampire hour succubus singapore ft lone lone come hardcore lose jennifers body n kup overtime ken talk crowd rockstar lifestyle ken asks leaf download album green room pot nightcore nightcore paranoid ft lone need u freestyle go stop breathing carti lone flthy come rockstar made fen ft playboi carti fighting demon jennifers body overtime look could kill mdma ft lone sound cut sound come back money sex ft ken carson pot"
"copped tha new goo goo"
"history making"
"fighting demon vampire hour succubus singapore ft lone lone come hardcore lose jennifers body n kup overtime ken talk crowd rockstar lifestyle ken asks leaf download album green room pot nightcore nightcore paranoid ft lone need u freestyle go stop breathing carti lone flthy come rockstar made fen ft playboi carti fighting demon jennifers body overtime look could kill mdma ft lone sound cut sound come back money sex ft ken carson pot"
"single phone sight"
"name first song"
"fucking love opium much man wish ken guy would go harder perform disrespect wan na see ken spit song word word actual vocal rly think would get crowd whole diff level"
"crowd weak put phone fucking mosh"
"wtf going fighting demon one best song ken carson dont rave clearly see audience slowing cause hyping could greater travis scott live performance think stoned realise missed still great song"
"secuirty guard stage mad saf"
"carti didnt scream first time live"
"crowd as"
"world need carti ken collab album heal"
"timelaps intro song"
"ken album amazing top bottom pause also carti back crowd time hilarious"
"ken sound like playboi carti stage"
"amazing need really rage get crowd"
"whats yung nudy song nvm found want know slight dub baby drill yung nudy"
"dear opium community message im confessing im new genim sorry everybody"
"bottom middle crowd td fw"
"fell love lil tecca ken need u ken green room ken fighting demon ken singapore lone ken aquafina ken unreleased glock ken unreleased player ken unreleased paranoid ken lone nostylist lone veteran lone ken catch kill lone damn rich lonely money sex lone ken mdma ken x breakfast ken freestyle ken hardest beat track"
"men pull like shield wwe type shi"
"pull swerve"
"wish ken would try live performance doesnt try make crowd dead"
"carti gon let ken perform album"
"lone ruined tf thr concert came singapore ehole energy went"
"thats amazing let stay touch"
"im gon na lie dont know feel shit cause emotion everywhere honestly carti came motherfucker tore whole room busy worried recording getting lit imagine seeing cardi everybody standing around phone recording nobody dancing everybody standing still crowd damn youre halfway moving"
"anybody ask carti drop"
"thank ken much disease ear family suffering dog cancer hearing majestic gorgeous album disease cured even hear color started company track soon pant falling rack broches thanks blessing potential cure problem never forget always carry heart till last day come thank"
"mf liveleak logo lmfao true chaos"
"crazy performance oh wait"
"fighting demon vampire hour succubus singapore ft lone lone come hardcore lose jennifers body n kup overtime ken talk crowd rockstar lifestyle ken asks leaf download album green room pot nightcore nightcore paranoid ft lone need u freestyle go stop breathing carti lone flthy come rockstar made fen ft playboi carti fighting demon jennifers body overtime look could kill mdma ft lone sound cut sound come back money sex ft ken carson pot"
"bro deconstructing rage performance bare minimum people outdated understand new style"
"ngl bro look like people went paid money see dude smoke blunts chill show id pretty blown guess thats expected carti"
"never forget playing succubus first time"
"music white people"
"historic"
"thats brilliant let stay touch"
"bros album presentation start artist song"
"yo"
"thought listening itsokaytocry sick regardless"
"yo mf wack travis throw phone bc tf recording whole fucking performance get fucking littttt"
"bet nobody get wade bar damn violated carti"
"else clucked carti came ffs"
"whats intro song"
"album hella good carti hella smart he opium really fuck gon na leave mark generation"
"dj carson"
"greatest concert time"
"damn thumbnail lookin like carti ngl"
"every one recording whole show make questioning even went"
"bro turnin back crowd like"
"pretty good ig"
"timestamps ken fighting demon vampire hour succubus singapore ft lone lone come hardcore lose jennifers body n kup overtime ken talk crowd rockstar lifestyle ken asks leaf download album green room pot nightcore nightcore paranoid ft lone need u freestyle go stop breathing carti come filthy rockstar made fen playboi carti fighting demon jennifers body overtime look could kill mdma ft lone sound cut sound come back money sex ft ken carson pot"
"garbage as concert lol fan got robbed plain simple guy performed like half song straight left brought bigger rapper stood dapped boy left lmfaooo"
"event promoted private public didnt know late"
"agc already classic"
"went crazy"
"cant wait hear lose antagonist"
"bro im hating got ta talk crowd"
"ken def carti jr good way lol"
"album year"
"couldve best performance date nga wan na lazy act like cool rap damn lyric"
"everybody look brain dead w dey phone wild"
"lone right really mood fr"
"carti longer opium heroin"
"hear another wlr song ima lose shit"
"crowd tired af"
"album year case closed"
"come russia please"
"good ken released album turned mindblowing"
"doubt talent dont one worst live show world ever seen"
"album terrible"
"shoutout guy moshing swear god people europe tour start recording whole concert without moving im starting riot"
"ken carson song succubus saved life"
"dont get hype bruh great value carti"
"w family"
"might aoty"
"shouldnt switched apple music smh"
"succubus underrated"
"generational"
"literally woman place fire anyways"
"left rockstar lifestyle cuz boy thought ken would dip early mf brings carti paid get back worth every penny"
"l crowd"
"dj literally play leaked version jennifers body"
"whats babydrill song"
"yall trippin said word night shit isnt concert yall still sucking ken bitch ever could craaaaaaazyyy"
"carti showing love son"
"playboy cahti saying oohoo music dop dop soon dop music idiot"
"damn fthy built like biggie cheese"
"album might better yeats breakout album"
"concert would way better people actually went enjoy music"
"meat rider dawg tf would pay watch shit"
"love album thank ken"
"nahh wheres like"
"bro u made fun ken put aoty"
"best album ever made kenyatta"
"album year"
"carti cloned wheres birthmark"
"peak album artist"
"like take phone enjoy concert"
"ima fly deluxe listening party"
"im ready antagonist november"
"fuck wouldve done anything go"
"thank much ken carson"
"carti huggin interacting kid genuine kind"
