Film of the year
👍
I love You SO much fan for life OMG i can't believe it! ❤
Am i tripping or is this a lone YouTube short
Y couldn’t they add this as the intro to the song?
best short film ever
https://youtu.be/SDWC2lNgBgQ
This ho fire 🔥 😂
🤧
Hey it’s Lone. Just texting to see if you were okay.
go on tour
W
да
i love you sm lone
Lk
this was my fav part
Baby I’m the fashion demon
if looks could kill
Good golly miss molly I have turned so opium and I cannot stop🦇
Bro
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
Feelin' like a supervillain now.
Die lit reference?
w rizz
lone youtube short🗣🗣🗣🗣
yuh
We need de visual of if look could kill
LONEEEEEE ❤❤❤❤❤
🧛🏿‍♂️ Look Killla 🔥
😛
Killa
bros music so good it killing 🙏🔥
love u lone
That’s my wife
🖤
Shits opium
they’re just regular pants ppreciate it 🗣️🗣️‼️
IF LOOKS COULD KIIIIIIIIL
you did your thing lone
is this real?
it's lit 🔥🔥🔥
Bro this nigga fan base is on par with Micheal Jackson. Y’all are fucking WILD. It’s beautiful to watch 😂😂
This shit was so fire for the album rollout what a creative idea
Lone saved me 🖤
😵🔥🔥🔥🔥
lone is so fye
life laugh lone
I'M BATMAN
G.O.A.T
look killa
if look could kill
WHATS HAPPENED TO ME 😵‍💫🤢🧟🐺
W LONE BEST MEMBER OF OPIUM
🔥🔥🔥🐺
personally i'd try turning the music up in that situation
Wagwan
I turned into a wolf in the night while listening to this majestic song 🐺‼
ima look killa with the swag I be drillin
🔥
up
Killa
bro killed her w just his fye music
LONE
album fye
W
first
ily lone
